,Brand,Model,model_year,km_driven,car_type,gear_type,location,price,fuel_type
0,maruti,CIAZ ,2019,23135.0,sedan,Manual,malad,875000.0,Petrol
1,mahindra,Bolero ,2012,75000.0,sedan,Manual,borivali,575000.0,Diesel
2,mahindra,TUV 300 T8 ,2018,13000.0,sedan,Manual,borivali,875000.0,Diesel
3,bmw,525 i petrol ,2010,46000.0,sedan,Auto,borivali,575000.0,Petrol
4,honda,Brio V AT ,2012,59000.0,sedan,Auto,borivali,399000.0,Petrol
5,maruti,Wagon R ,2016,58000.0,sedan,Auto,borivali,445000.0,Petrol
6,maruti,CIAZ ,2016,26195.0,sedan,Manual,thane,650000.0,Petrol
7,volkswagen,Vento 1.6L MT Highline ,2014,26000.0,sedan,Manual,mumbai,465000.0,Petrol
8,maruti,Wagon R 1.0 VXI AMT ,2017,32000.0,hatchback,Automatic,mumbai,465000.0,Petrol
9,toyota,Corolla Altis 1.8J ,2015,70000.0,sedan,Manual,mumbai,775000.0,Petrol
10,hyundai,Creta S 1.4 CRDI ,2019,68000.0,sedan,Manual,borivali,1025000.0,Petrol
11,toyota,Fortuner 4x2 AT ,2014,86000.0,sedan,Automatic,mumbai,1525000.0,Diesel
12,hyundai,Grand i 10 4Speed AT ,2014,40000.0,sedan,Automatic,mumbai,474000.0,Petrol
13,toyota,Fortuner ,2017,68200.0,suv/muv,Automatic,malad,3050000.0,Diesel
14,volkswagen,Polo ,2019,17000.0,hatchback,Automatic,malad,900000.0,Petrol
15,ford,Ecosport 1.5 Titanium ,2015,45000.0,suv/muv,Auto,malad,475000.0,Petrol
16,volkswagen,POLO HIGHLINE ,2016,35400.0,hatchback,Manual,mumbai,549999.0,Petrol
17,hyundai,I20 ,2010,38410.0,hatchback,Manual,borivali,225000.0,Petrol
18,mercedes,BENZ ,2015,54258.0,luxury,Auto,malad,1999000.0,Diesel
19,hyundai,I 20 ,2017,38300.0,hatchback,Manual,malad,574999.0,Petrol
20,hyundai,ELITE I20 ,2017,36800.0,hatchback,Manual,malad,710000.0,Petrol
21,maruti,Alto ,2011,10921.0,hatchback,Manual,thane west,165000.0,Petrol
22,mercedes,GLC 200 ,2016,20000.0,suv/muv,Automatic,andheri,6000000.0,Petrol
